	logFC	logCPM	F	PValue	color
tgfbr1b	-10.6305025299353	2.53905379800613	56.0870023924821	0.000272175413931946	blue
cx28.9	3.20184361304727	8.91503769223958	43.7883178011202	0.000282703646859289	red
cinp	3.5968751725834	5.46981208619577	43.5880503098202	0.000286755690258695	red
slc43a3b	3.98402580589734	11.0739214966442	43.5064038185609	0.000288429021928132	red
si:ch211-264f5.6	-3.38365569199782	5.12874855080558	43.4966975872431	0.000288628781580013	blue
ctsl.1	1.92363224829137	9.0951358184023	43.4260987620397	0.000290087096714113	red
cbx7a	2.29636187945667	6.61342288507415	43.3835526357143	0.000290970510199657	red
gorasp2	-2.28778214151761	5.87646233010632	43.319806541168	0.000292300580849459	blue
igf2bp3	2.09383587964369	8.43945065748022	43.26887302699	0.000293368924040196	red
mrps30	2.10625584825876	6.38860046881626	43.1573127021855	0.000295726484496527	red
psmc1a	1.90881366319596	6.62626022012183	43.1453311374875	0.000295981129005688	red
msx3	1.95159313677639	7.88541854092265	43.0799988617066	0.000297374595967867	red
zgc:136410	-3.3734084820905	4.28021746548245	42.9020340312149	0.000301213307462454	blue
ptmab	3.15373136262484	10.8404570313814	42.471002319336	0.000310777568342689	red
AL935186.4	-8.62907580115076	8.55628280994488	42.4238956699351	0.000311846302852267	blue
AL935186.5	-8.62907580115076	8.55628280994488	42.4238956699351	0.000311846302852267	blue
AL935186.7	-8.62907580115076	8.55628280994488	42.4238956699351	0.000311846302852267	blue
AL935186.9	-8.62907580115076	8.55628280994488	42.4238956699351	0.000311846302852267	blue
si:dkey-19b23.8	2.67470403626442	6.28079413280647	42.2870126493901	0.000314978710020639	red
zdhhc3b	-2.57702967308717	5.33422030848508	42.2373556629406	0.000316125021697795	blue
ncalda	2.56339552330521	6.7478227468671	42.1506848520371	0.000318138633208242	red
icn	-2.7568687817519	6.37131552168062	42.0210877205792	0.000321180340536223	blue
lyrm4	2.76151751369995	5.59083672734195	41.9667123484196	0.000322467662320719	red
mak16	1.87186196578583	6.16461554818704	41.7946604192605	0.000326584787847675	red
LECT2	3.6363160525918	4.0881844520861	41.6926062902123	0.000329058780773615	red
itfg1	-10.3797907468226	2.29355682630504	52.3254116521768	0.000330025970639678	blue
trioa	-8.43279827376463	2.52558247217194	41.6478608709281	0.000330151076961235	blue
ube2a	1.73313539543816	7.28833974433005	41.3081663348427	0.000338597033322744	red
s100u	1.67089594684651	7.25485159902592	41.2129978285076	0.000341012821190239	red
phkg2	1.78049101744802	7.1338342254018	41.0896385859024	0.000344177212856489	red
uap1	2.06032549293688	6.64294023203586	40.953497001663	0.000347713348359066	red
si:ch211-212g7.6	2.65544378335098	6.37326907563624	40.9031111742742	0.000349033875992163	red
C18H19orf47	-10.3837062134393	2.29615493262238	51.0137944564578	0.000354018071317872	blue
pitpnm3	-10.3139594123739	2.22924110407243	50.9755168523056	0.000354752534761029	blue
tmed9	1.95385149214793	9.26402122079267	40.4747167774919	0.000360525399020022	red
gorab	2.69675104590633	4.39393708008648	40.3209933371967	0.000364767081332744	red
adtrp1	-3.76918257762208	5.7145442020835	40.3138501472409	0.000364965735289372	blue
si:ch211-285f17.1	-3.72354439691151	4.30034235431824	40.2717493699928	0.000366139392122728	blue
zgc:153409	-8.69149889471018	2.78113040437568	40.2449529717075	0.000366888925708225	blue
BX470157.1	10.9945109183929	2.3297595144701	69.6195961730624	0.000369466980831282	red
napsa	2.07585713006073	6.95617694447769	40.1455866343522	0.000369685583571589	red
agpat2	1.99114357725414	6.72324777253167	39.9776598810368	0.000374474323152762	red
ccdc137	1.91629261380638	6.1604061022496	39.9679023233129	0.000374755017030894	red
mbd5	-10.2688792139882	2.18494358718193	49.9699177805964	0.000374795065101783	blue
trpv1	3.45435129567149	5.85482124979028	39.8525193913043	0.00037809477065157	red
rps12	-1.99507265425512	8.15075228505269	39.8486970884478	0.000378206058993587	blue
aplnra	-3.37076937444565	3.98767208933442	39.8297443295908	0.000378758499528252	blue
czib	2.17955517438968	5.52287357696196	39.7042630504284	0.00038244229756204	red
snx5	1.78764479659888	7.8247619065377	39.6193613307467	0.000384960881313736	red
kitlga	-2.93734228714288	4.4822348072837	39.5904962362673	0.000385821999422106	blue
