	logFC	logCPM	F	PValue	color
BORA	2.13745376834695	5.06069925227281	30.6662966581628	0.000593672163789247	red
U2AF2	-3.30496611943593	3.8528515909452	30.6656348977605	0.000593713087288407	blue
FBXO41	-9.83797380894031	1.52718697107904	36.0077229732363	0.000597572019750663	blue
FBRS	-3.91023053652325	3.48468582434877	30.5071968756191	0.000603613845511555	blue
EGLN2	-2.49288405775734	5.20142287814949	30.5001639430924	0.000604058124034368	blue
CLDND1	1.46783450238228	8.47587300804875	30.4851682780187	0.000605006790860774	red
TUBGCP2	-2.53024249155689	4.23112274761334	30.4641548351133	0.000606339311532151	blue
MT2A	-1.66013418926877	7.33357072206556	30.4572487863369	0.000606778048426138	blue
SEPTIN5	-4.03714372849331	3.60190074301328	30.4398932982718	0.000607882394182719	blue
NONO	1.31173786328222	8.27582158324683	30.4013367177604	0.000610344839279235	red
LRP10	-1.79912353213753	6.13454949731524	30.3791040179653	0.000611770447258101	blue
PNPLA8	1.33217768034242	7.36114322937872	30.3638660013862	0.000612749959029758	red
NDUFB6	2.02194823474665	7.30279478642474	30.338640689901	0.000614375798456874	red
PTPA	-3.40563450023268	5.19817569217483	30.3265755389409	0.00061515534679805	blue
TPD52L2	-1.62005524431787	7.00167471533413	30.3165496136304	0.000615804083533833	blue
RWDD3	2.56179710637626	5.708881323984	30.29281921423	0.000617343010545338	red
SEMA3C	1.57527443693224	7.64970543034875	30.2372509705559	0.000620965591857788	red
CCDC66	1.55984320372952	5.65769453408872	30.2314587511026	0.000621344731612855	red
WDR35	1.74327820535886	5.7775219988095	30.2078936365205	0.000622890230037397	red
ISCU	1.62667558725049	7.34167734036966	30.1784452968932	0.00062482837288537	red
TGFB2-OT1	2.55248944682155	3.67387086107703	30.1711866746237	0.000625307263142783	red
SMG6	-3.97337245701485	4.43299613401114	30.1618904538754	0.000625921258648156	blue
SAR1B	1.65833185627586	8.57268046320765	30.1292574789296	0.000628082604518491	red
ZNF468	1.85680235082533	5.58319030155494	30.1204489027103	0.000628667620897888	red
RAB18	1.78893088180228	8.40704708837556	30.0974363565372	0.000630199220575928	red
C6orf47	-2.73053447344587	4.43353067820909	30.0812864578435	0.00063127687809204	blue
PPT1	1.30002522306979	8.72284324536573	30.0784053303634	0.000631469374623172	red
MFAP1	1.6977893815348	6.00503210349147	30.0723185140267	0.000631876295211568	red
Z83843.1	-9.69100963721032	1.38296415447953	35.3022752929528	0.000633157282823235	blue
MRPL42	1.92333572078812	8.06804303275073	30.030227812649	0.000634699213826004	red
SCP2	1.32189676573704	8.47322569439523	30.0258339050029	0.000634994815202633	red
FMNL2	1.50251051280592	6.23465550276698	30.0152087727869	0.000635710339415901	red
THY1	-2.17383575740005	9.19399240447814	30.0103348889497	0.000636038898542948	blue
MFSD8	2.22009319860364	5.790923032101	29.9881131826879	0.000637539619962502	red
FGFR1OP	1.71891234998937	6.05676577660093	29.9613092339312	0.000639355725421096	red
RBBP5	2.07847396605301	5.3602866253112	29.9498779479242	0.000640132231560753	red
RPL29	-1.64133167650997	7.59132188001834	29.9413915091126	0.000640709466416627	blue
SLC41A3	-1.84762380629592	5.16354041609449	29.928121186431	0.000641613405889864	blue
SDCBP	1.52692734225525	10.3917067254154	29.8995071082202	0.000643567982532386	red
NCKAP5L	-5.78621791669833	2.39651425522274	29.8873910139061	0.000644397866443734	blue
TIMM21	1.47808310897803	6.51240395450781	29.8705940626976	0.000645550588728632	red
SFN	-3.15821773519812	4.22008757705205	29.8669520025676	0.00064580087375747	blue
PPCS	1.63159512522496	7.66031310430028	29.8487696680762	0.000647052202976932	red
WDR43	1.60100813416929	6.68285405737712	29.8448949264656	0.000647319260967619	red
FP671120.7	-12.560716642016	4.21434862835298	35.0323526892785	0.000647497100321179	blue
PNRC2	1.58708404978201	8.9651002021584	29.8160472187941	0.000649311886899193	red
FASN	-3.11313121489483	4.14470620203104	29.8033102389571	0.000650194134022087	blue
ZNF581	-2.98349841898401	3.76910991130093	29.7976172993507	0.000650588951718895	blue
TTC39C	2.28369924873369	6.11476292556445	29.7645090347863	0.000652891063432931	red
RAMAC	1.64837072795814	6.47523676821815	29.7457510020525	0.000654199907098436	red
ATP6V1B2	1.29085025012953	8.28375591668845	29.7237051430957	0.000655742377668617	red
NEMF	1.49641689293181	6.89590819863235	29.7203599183363	0.000655976830453736	red
DARS	1.2512807380252	7.67845587467939	29.7155783408311	0.000656312134145189	red
ENAH	1.90651250790257	8.26982648980025	29.6841998625468	0.000658517874578448	red
C12orf49	1.77669179282446	5.45721218603231	29.6802053945536	0.000658799332609676	red
NBL1	-2.21375705092615	6.21104851563833	29.6458502031053	0.000661226320157943	blue
TSEN34	-1.61937452523021	6.12350964741514	29.6359839213366	0.000661925389894179	blue
HDHD5	-1.87356061808222	5.21157181704397	29.6046472215979	0.000664151903408321	blue
POLL	-3.77457493829349	2.83800008345454	29.6018188886179	0.000664353322999085	blue
OTUD6B-AS1	2.05672153438467	7.80535947783923	29.5982654117013	0.000664606492520304	red
MAP1A	-1.68875812418673	6.12139008259116	29.5874909415403	0.000665374867506235	blue
APOBEC3C	1.59101940797558	8.4043091391444	29.5853612292711	0.000665526878822242	red
OGDH	-2.66376782164777	5.73346501359594	29.5792869959716	0.000665960675928159	blue
TRNT1	1.93275839704905	5.52954115031784	29.5774259861012	0.000666093652823047	red
ALKBH5	-2.1492886635442	6.21872865975449	29.5491137749268	0.000668120800160246	blue
PDHX	1.36398868781818	6.63229168707146	29.4864598266215	0.000672634447440359	red
KIF5A	3.35783203299911	4.6319641606128	29.4710960043033	0.000673747117794756	red
HASPIN	-9.64642267566057	1.33988399955139	34.4814111312599	0.000678095888638991	blue
CAD	-2.91777460782809	4.41400550030621	29.3981168007463	0.000679064084327894	blue
SAMD4B	-2.5415929968434	4.67732414637852	29.3880347421782	0.00067980276237183	blue
RASSF7	-9.6753136586114	1.36757261987932	34.4123984396276	0.000682059630309635	blue
GGA1	-4.83822213152005	4.68088693854482	29.3475856180836	0.000682776505627144	blue
RNF19B	2.09386520791474	5.79999728738671	29.3190214058727	0.000684886347349413	red
TMEM39B	-3.04319485200927	3.89736197432096	29.3159249452091	0.000685115553602654	blue
G3BP1	1.34132198383273	8.77038612494559	29.2861850899828	0.000687321875074987	red
CSNK1G2	-3.12507566120161	3.67305512549253	29.2535324353309	0.000689754585154538	blue
CCT6P3	2.04341563134067	4.86869485102844	29.252616506821	0.000689822980197009	red
PPP4R3B	1.31014479604665	7.13968501818491	29.2301561183616	0.000691502833368457	red
NAB2	-3.43565224805117	3.11699379876535	29.2219486654166	0.000692117966210742	blue
TMEM198B	-9.64768726042032	1.34045418066401	34.2073035700651	0.000694017590468706	blue
SPTSSA	1.77783598149024	6.9376867878098	29.187740684274	0.000694689208281505	red
PPIL4	1.93220507510494	7.07640885211038	29.1829875039093	0.000695047430399288	red
U2SURP	1.40603646784606	7.42611871522703	29.1801653378101	0.000695260232019762	red
MGAT4B	-3.03543986763223	5.01266355308961	29.1548888212259	0.000697169829749374	blue
RPL10	-1.49527510862525	9.22869073990879	29.1546270103186	0.000697189643589827	blue
MCEE	2.07592006564175	5.26062245543241	29.1369286080464	0.000698530700812243	red
TMEM259	-4.39322670998129	4.66446767017037	29.1347495255086	0.000698696040062905	blue
LDOC1	-3.16054793246078	4.01334132286593	29.1316168114664	0.000698933822901981	blue
CEP72	-9.62577329320432	1.31972239534506	34.1072122646151	0.000699951912810219	blue
MLST8	-2.68566566311563	4.4915246847733	29.0866871851283	0.000702355339998527	blue
CUEDC1	-7.21098913856135	2.65800758423834	29.0501545651518	0.000705152932683528	blue
TAGLN2	-3.40321732339641	9.13427082545807	29.028583314197	0.000706811392750035	blue
SLC25A39	-1.78100559880337	6.26381763073494	29.0086040950306	0.000708351828462357	blue
UGCG	1.89637778643896	7.83793541725051	28.953208924876	0.000712645027119732	red
LDLRAP1	-2.32142351517146	4.85855747839805	28.9354454468875	0.000714028641982838	blue
RRP15	1.64859528117418	5.99630200887462	28.9263157633344	0.00071474107576843	red
AC016831.5	-10.4950116637444	2.16999758774345	33.8491466775844	0.000715558236676426	blue
IK	1.36931725560582	7.98279690227812	28.9008853426398	0.000716730251764462	red
NGLY1	1.46422018022572	6.49234462675685	28.8976178541804	0.000716986340028149	red
ARID2	2.01835148996558	5.6130298169209	28.8855248339994	0.000717935127352063	red
FAM117B	2.7095868396303	4.05107683652045	28.8808097326863	0.000718305489690807	red
PYGB	-2.58311470531819	6.17061001162376	28.8676119404334	0.00071934342907934	blue
SYNJ2BP	1.51983613558723	5.51996569379183	28.8213940688538	0.000722993123402497	red
PER1	-2.73564599090493	4.92089525385153	28.8172256101558	0.000723323437894884	blue
NFIL3	1.63496619535685	5.47107428264614	28.7972179538995	0.000724911515419483	red
TMA16	1.65472089480239	5.58018536300413	28.7962088079113	0.000724991730903126	red
MAPK8IP3	-5.43110848813726	2.39716185552612	28.7399084614396	0.000729484689605808	blue
BCCIP	1.66162498105395	6.97333137741922	28.7288287759586	0.000730373003904483	red
RPUSD1	-5.17896350253791	2.15695270964766	28.726355004744	0.000730571524277289	blue
IRF2BPL	1.79635307454379	5.32413943366538	28.7103007454948	0.000731861529848714	red
SRGAP2	3.44999602863617	7.78991869600982	28.6942339283101	0.000733155412318708	red
ZHX1	1.47754992927054	7.16364907008814	28.6767028617391	0.000734570494861736	red
AMIGO2	1.94312572000484	4.72529626126779	28.6619974020191	0.000735760147110549	red
RPL39	-1.99204693016909	6.05999655844492	28.6290633897754	0.000738433263079895	blue
ABHD10	1.76740180133397	7.11841995563	28.588820550725	0.000741716200042743	red
LIMS2	-3.31793981244938	3.1255207121807	28.5722322321118	0.000743074783502338	blue
ATXN1	1.73820405044313	7.33612437091017	28.5290427497103	0.000746626705260871	red
EIF5B	1.23067495439569	7.04325730432939	28.5011702176288	0.000748930289243139	red
VRK2	1.40946619520195	5.97946899053361	28.4828680154384	0.000750447773628484	red
CDC37	-1.43510379691861	6.86160538726461	28.4818521542125	0.000750532114555468	blue
LMBRD1	1.28265170152131	6.75425879012023	28.4540969545386	0.000752841080940661	red
CCND3	-2.11289595132143	4.92295405895583	28.444390403245	0.000753650679780866	blue
AGRN	-3.87641171751563	4.77231391636481	28.4377721159021	0.00075420332190601	blue
CBFB	1.505494523406	6.68872137926022	28.4348719504789	0.000754445652863427	red
MT-RNR2	-4.01422874794294	15.5284041032293	28.4316166178453	0.000754717777350345	blue
MRPL51	1.33881523776196	6.75973884790904	28.4213544427511	0.000755576435894021	red
PPP2CB	1.68099577166617	6.75946021342891	28.4122224888074	0.000756341559172278	red
ZNF271P	1.44580645997907	6.15316512789286	28.4079309490334	0.000756701463400077	red
CMC1	1.89954641619084	5.67492321075105	28.38377268886	0.000758731485254084	red
INTS2	2.01100490726173	4.92475804479052	28.3581147842478	0.000760895024472212	red
MFN1	1.37689204795254	7.05012214738449	28.2639511131771	0.000768901902478817	red
GJA1	1.34841814874676	7.12829331546835	28.2184317045475	0.000772810458474075	red
PDLIM4	-2.05410954697608	4.95241601342711	28.1983331808478	0.00077454417948742	blue
SEC62	1.75345350570462	7.99920370233882	28.1926128650448	0.000775038513853835	red
USF1	-10.052800638647	1.73731057302221	32.9194748401666	0.000775655948774621	blue
MBD2	2.14714339252677	5.69214671980961	28.173375971506	0.000776703826717962	red
ANKRD52	-4.28556768719819	4.59583976477295	28.1679111538245	0.00077717772907408	blue
IWS1	1.91838318868922	6.17853834720984	28.1671970389886	0.000777239683094185	red
ITPK1	-5.89450173083318	2.05623731555222	28.1291596721138	0.000780548658654231	blue
